host	logname	time	method	url	response	bytes	referer	useragent
gw1.att.com	-	807249816	GET	/history/apollo/images/apollo-logo1.gif	304	0		
gw1.att.com	-	807249817	GET	/images/KSC-logosmall.gif	304	0		
gw1.att.com	-	807249817	GET	/shuttle/missions/sts-73/sts-73-patch-small.gif	304	0		
uplherc.upl.com	-	807249817	GET	/shuttle/missions/sts-71/images/KSC-95EC-0911.gif	200	31242		
haraway.ucet.ufl.edu	-	807249819	GET	/shuttle/missions/sts-71/mission-sts-71.html	200	13450		
haraway.ucet.ufl.edu	-	807249819	GET	/shuttle/missions/sts-71/sts-71-patch-small.gif	200	12054		
piweba1y.prodigy.com	-	807249821	GET	/images/NASA-logosmall.gif	304	0		
piweba4y.prodigy.com	-	807249823	GET	/history/apollo/images/footprint-small.gif	200	18149		
piweba1y.prodigy.com	-	807249825	GET	/images/KSC-logosmall.gif	200	1204		
ai.asu.edu	-	807249825	GET	/	200	7280		
haraway.ucet.ufl.edu	-	807249827	GET	/shuttle/technology/sts-newsref/sts_asm.html	200	71654		
haraway.ucet.ufl.edu	-	807249828	GET	/shuttle/technology/images/srb_mod_compare_6-small.gif	200	28219		
haraway.ucet.ufl.edu	-	807249828	GET	/shuttle/technology/images/srb_mod_compare_1-small.gif	200	36902		
haraway.ucet.ufl.edu	-	807249828	GET	/images/shuttle-patch-logo.gif	200	891		
haraway.ucet.ufl.edu	-	807249829	GET	/shuttle/technology/images/srb_mod_compare_3-small.gif	200	55666		
in24.inetnebr.com	-	807249831	GET	/shuttle/missions/sts-68/news/sts-68-mcc-13.txt	200	1909		
ai.asu.edu	-	807249832	GET	/facts/facts.html	200	4722		
rpgopher.aist.go.jp	-	807249833	GET	/shuttle/missions/sts-70/movies/sts-70-crew-suitup.mpg	200	90112		
gw1.att.com	-	807249833	GET	/shuttle/missions/sts-73/news	302	0		
gw1.att.com	-	807249834	GET	/shuttle/missions/sts-73/news/	200	519		
ai.asu.edu	-	807249835	GET	/facts/faq01.html	200	19320		
gw1.att.com	-	807249836	GET	/icons/menu.xbm	304	0		
gw1.att.com	-	807249836	GET	/icons/text.xbm	304	0		
gw1.att.com	-	807249836	GET	/icons/blank.xbm	304	0		
async59.ts-p-caps.caps.maine.edu	-	807249842	GET	/software/winvn/winvn.html	200	9866		
rpgopher.aist.go.jp	-	807249845	GET	/cgi-bin/imagemap/countdown70?51,156	302	111		
rpgopher.aist.go.jp	-	807249846	GET	/shuttle/missions/sts-70/mission-sts-70.html	200	20224		
www-d3.proxy.aol.com	-	807249847	GET	/shuttle/missions/sts-71/movies/movies.html	200	3381		
pm9.j51.com	-	807249848	GET	/facilities/lc39a.html	200	7008		
piweba3y.prodigy.com	-	807249848	GET	/	200	7280		
async59.ts-p-caps.caps.maine.edu	-	807249850	GET	/software/winvn/winvn.gif	200	25218		
pm9.j51.com	-	807249851	GET	/images/lc39a-logo.gif	200	13116		
rpgopher.aist.go.jp	-	807249853	GET	/images/launch-logo.gif	304	0		
rpgopher.aist.go.jp	-	807249853	GET	/history/apollo/images/apollo-logo1.gif	304	0		
pm9.j51.com	-	807249854	GET	/images/kscmap-tiny.gif	200	2537		
rpgopher.aist.go.jp	-	807249854	GET	/shuttle/resources/orbiters/discovery.html	200	6849		
rpgopher.aist.go.jp	-	807249857	GET	/shuttle/resources/orbiters/discovery-logo.gif	200	4179		
rpgopher.aist.go.jp	-	807249857	GET	/images/ksclogosmall.gif	200	3635		
async59.ts-p-caps.caps.maine.edu	-	807249858	GET	/images/construct.gif	200	1414		
rpgopher.aist.go.jp	-	807249858	GET	/shuttle/resources/orbiters/orbiters-logo.gif	200	1932		
in24.inetnebr.com	-	807249859	GET	/shuttle/missions/sts-68/news/sts-68-mcc-14.txt	200	1418		
async59.ts-p-caps.caps.maine.edu	-	807249860	GET	/software/winvn/bluemarb.gif	200	4441		
uplherc.upl.com	-	807249861	GET	/shuttle/missions/sts-71/images/KSC-95EC-0908.jpg	200	54279		
piweba3y.prodigy.com	-	807249862	GET	/images/ksclogo-medium.gif	200	5866		
piweba1y.prodigy.com	-	807249862	GET	/history/apollo/images/apollo.gif	200	28847		
rpgopher.aist.go.jp	-	807249865	GET	/shuttle/resources/orbiters/endeavour.html	200	6168		
rpgopher.aist.go.jp	-	807249868	GET	/shuttle/resources/orbiters/endeavour-logo.gif	200	5052		
haraway.ucet.ufl.edu	-	807249869	GET	/ksc.html	200	7280		
haraway.ucet.ufl.edu	-	807249870	GET	/images/ksclogo-medium.gif	200	5866		
haraway.ucet.ufl.edu	-	807249870	GET	/images/NASA-logosmall.gif	200	786		
haraway.ucet.ufl.edu	-	807249870	GET	/images/MOSAIC-logosmall.gif	200	363		
haraway.ucet.ufl.edu	-	807249870	GET	/images/USA-logosmall.gif	200	234		
haraway.ucet.ufl.edu	-	807249871	GET	/images/WORLD-logosmall.gif	200	669		
async59.ts-p-caps.caps.maine.edu	-	807249872	GET	/software/winvn/wvsmall.gif	200	13372		
piweba3y.prodigy.com	-	807249877	GET	/images/NASA-logosmall.gif	200	786		
haraway.ucet.ufl.edu	-	807249882	GET	/shuttle/countdown/	200	4324		
haraway.ucet.ufl.edu	-	807249883	GET	/shuttle/countdown/count70.gif	200	46573		
133.43.96.45	-	807249883	GET	/shuttle/missions/sts-49/mission-sts-49.html	200	9271		
async59.ts-p-caps.caps.maine.edu	-	807249886	GET	/images/KSC-logosmall.gif	200	1204		
haraway.ucet.ufl.edu	-	807249887	GET	/cgi-bin/imagemap/countdown70?199,165	302	97		
rpgopher.aist.go.jp	-	807249887	GET	/cgi-bin/imagemap/countdown70?54,211	302	110		
haraway.ucet.ufl.edu	-	807249887	GET	/shuttle/countdown/lps/fr.html	200	1879		
haraway.ucet.ufl.edu	-	807249888	GET	/shuttle/countdown/lps/back.gif	200	1289		
haraway.ucet.ufl.edu	-	807249888	GET	/shuttle/countdown/lps/fr.gif	200	30232		
rpgopher.aist.go.jp	-	807249889	GET	/shuttle/missions/sts-70/images/images.html	200	8657		
piweba3y.prodigy.com	-	807249889	GET	/images/MOSAIC-logosmall.gif	200	363		
async59.ts-p-caps.caps.maine.edu	-	807249890	GET	/images/MOSAIC-logosmall.gif	200	363		
piweba3y.prodigy.com	-	807249891	GET	/images/USA-logosmall.gif	200	234		
async59.ts-p-caps.caps.maine.edu	-	807249893	GET	/images/USA-logosmall.gif	200	234		
piweba4y.prodigy.com	-	807249893	GET	/history/apollo/apollo-13/apollo-13.html	200	18556		
ppp8.montrealnet.ca	-	807249893	GET	/shuttle/missions/missions.html	200	8677		
133.43.96.45	-	807249894	GET	/shuttle/missions/sts-49/sts-49-patch-small.gif	200	11628		
haraway.ucet.ufl.edu	-	807249895	GET	/cgi-bin/imagemap/fr?264,412	302	91		
haraway.ucet.ufl.edu	-	807249895	GET	/shuttle/countdown/lps/bkup-intg/bkup-intg.html	200	4167		
ppp8.montrealnet.ca	-	807249896	GET	/images/launchmedium.gif	200	11853		
haraway.ucet.ufl.edu	-	807249896	GET	/shuttle/countdown/lps/images/BKUP-INT.gif	200	9467		
async59.ts-p-caps.caps.maine.edu	-	807249896	GET	/images/WORLD-logosmall.gif	200	669		
uplherc.upl.com	-	807249897	GET	/shuttle/missions/sts-71/images/KSC-95EC-0873.jpg	200	75147		
134.50.205.24	-	807249897	GET	/shuttle/missions/100th.html	200	32303		
piweba3y.prodigy.com	-	807249898	GET	/images/WORLD-logosmall.gif	200	669		
ppp8.montrealnet.ca	-	807249901	GET	/images/KSC-logosmall.gif	200	1204		
rpgopher.aist.go.jp	-	807249903	GET	/shuttle/missions/sts-70/images/KSC-95EC-0575.gif	200	61570		
ppp8.montrealnet.ca	-	807249907	GET	/images/NASA-logosmall.gif	200	786		
piweba3y.prodigy.com	-	807249908	GET	/images/ksclogo-medium.gif	200	5866		
slip4086.sirius.com	-	807249910	GET	/software/winvn/winvn.html	200	9866		
slip4086.sirius.com	-	807249912	GET	/images/construct.gif	200	1414		
slip4086.sirius.com	-	807249912	GET	/software/winvn/bluemarb.gif	200	4441		
133.43.96.45	-	807249914	GET	/shuttle/missions/sts-57/mission-sts-57.html	200	11508		
slip4086.sirius.com	-	807249915	GET	/software/winvn/wvsmall.gif	200	13372		
ppp8.montrealnet.ca	-	807249916	GET	/shuttle/missions/sts-70/mission-sts-70.html	200	20224		
slip4086.sirius.com	-	807249918	GET	/images/MOSAIC-logosmall.gif	200	363		
slip4086.sirius.com	-	807249918	GET	/software/winvn/winvn.gif	200	25218		
slip4086.sirius.com	-	807249918	GET	/images/KSC-logosmall.gif	200	1204		
ppp8.montrealnet.ca	-	807249919	GET	/shuttle/missions/sts-70/sts-70-patch-small.gif	200	5978		
133.43.96.45	-	807249920	GET	/shuttle/missions/sts-57/sts-57-patch-small.gif	200	11988		
village.islandnet.com	-	807249921	GET	/shuttle/missions/sts-68/images/ksc-upclose.gif	200	86984		
slip4086.sirius.com	-	807249922	GET	/images/USA-logosmall.gif	200	234		
slip4086.sirius.com	-	807249923	GET	/images/WORLD-logosmall.gif	200	669		
204.248.155.42	-	807249930	GET	/images/	200	17688		
haraway.ucet.ufl.edu	-	807249930	GET	/shuttle/missions/sts-71/movies/movies.html	200	3381		
uplherc.upl.com	-	807249932	GET	/shuttle/missions/sts-71/images/KSC-95EC-0948.jpg	200	92477		
204.248.155.42	-	807249932	GET	/icons/menu.xbm	200	527		
204.248.155.42	-	807249932	GET	/icons/image.xbm	200	509		
piweba3y.prodigy.com	-	807249932	GET	/shuttle/missions/sts-71/images/images.html	200	8529		
204.248.155.42	-	807249935	GET	/icons/blank.xbm	200	509		
piweba4y.prodigy.com	-	807249935	GET	/history/apollo/apollo-13/apollo-13-patch-small.gif	200	12859		
